timestamp,event_id,log_name,user,computer,source_address,logon_type,result
timestamp,event_id,log_name,user,computer,source_address,logon_type,result
"2025-11-16 17:08:48",4624,Security,"DOMAIN\jdoe",WS-001,192.168.1.45,2,Success
"2025-11-16 17:28:48",4625,Security,Unknown,WS-001,10.1.1.100,3,Failure
"2025-11-16 17:48:48",4672,Security,"DOMAIN\admin",WS-001,192.168.1.45,2,Success
"2025-11-16 18:08:48",4648,Security,SYSTEM,WS-001,::1,5,Success
"2025-11-16 18:28:48",4732,Security,"DOMAIN\jdoe",WS-001,192.168.1.45,10,Failure
"2025-11-16 18:48:48",4624,Security,Unknown,WS-001,10.1.1.100,2,Success
"2025-11-16 19:08:48",4625,Security,"DOMAIN\admin",WS-001,192.168.1.45,3,Failure
"2025-11-16 19:28:48",4672,Security,SYSTEM,WS-001,::1,2,Success
"2025-11-16 19:48:48",4648,Security,"DOMAIN\jdoe",WS-001,192.168.1.45,5,Success
"2025-11-16 20:08:48",4732,Security,Unknown,WS-001,10.1.1.100,10,Failure
"2025-11-16 20:28:48",4624,Security,"DOMAIN\admin",WS-001,192.168.1.45,2,Success
"2025-11-16 20:48:48",4625,Security,SYSTEM,WS-001,::1,3,Failure
"2025-11-16 21:08:48",4672,Security,"DOMAIN\jdoe",WS-001,192.168.1.45,2,Success
"2025-11-16 21:28:48",4648,Security,Unknown,WS-001,10.1.1.100,5,Success
"2025-11-16 21:48:48",4732,Security,"DOMAIN\admin",WS-001,192.168.1.45,10,Failure
